iter	Passed	Remaining
0	31	31949
1	62	31044
2	90	30221
3	126	31489
4	160	32006
5	190	31556
6	221	31473
7	251	31180
8	284	31310
9	322	31880
10	354	31830
11	386	31820
12	420	31918
13	453	31921
14	484	31813
15	515	31695
16	545	31555
17	577	31519
18	607	31372
19	635	31134
20	663	30931
21	694	30868
22	727	30907
23	761	30952
24	798	31123
25	832	31189
26	862	31074
27	893	31002
28	922	30874
29	953	30814
30	987	30880
31	1016	30755
32	1046	30672
33	1077	30621
34	1108	30572
35	1138	30497
36	1167	30377
37	1198	30345
38	1229	30292
39	1257	30187
40	1288	30135
41	1320	30118
42	1350	30055
43	1379	29968
44	1406	29853
45	1435	29767
46	1464	29691
47	1495	29659
48	1526	29624
49	1555	29547
50	1583	29463
51	1612	29393
52	1640	29318
53	1668	29229
54	1696	29154
55	1726	29107
56	1756	29061
57	1788	29046
58	1818	29006
59	1848	28959
60	1877	28897
61	1908	28866
62	1937	28817
63	1965	28743
64	1993	28682
65	2022	28620
66	2051	28561
67	2079	28506
68	2110	28473
69	2141	28449
70	2170	28401
71	2200	28363
72	2230	28330
73	2261	28298
74	2297	28340
75	2329	28327
76	2361	28309
77	2392	28284
78	2423	28255
79	2454	28224
80	2483	28182
81	2511	28112
82	2539	28056
83	2567	28003
84	2598	27970
85	2627	27920
86	2655	27865
87	2685	27836
88	2718	27823
89	2748	27791
90	2777	27744
91	2807	27713
92	2835	27651
93	2864	27606
94	2893	27568
95	2925	27547
96	2954	27499
97	2984	27466
98	3012	27418
99	3043	27391
100	3070	27333
101	3099	27288
102	3127	27236
103	3155	27182
104	3183	27137
105	3211	27083
106	3241	27053
107	3273	27039
108	3307	27036
109	3338	27014
110	3369	26982
111	3397	26933
112	3427	26905
113	3459	26888
114	3488	26849
115	3517	26807
116	3546	26762
117	3573	26713
118	3603	26675
119	3632	26637
120	3659	26587
121	3688	26544
122	3719	26521
123	3748	26481
124	3776	26437
125	3807	26407
126	3834	26361
127	3862	26316
128	3892	26281
129	3920	26238
130	3948	26194
131	3978	26164
132	4008	26132
133	4036	26088
134	4066	26058
135	4095	26015
136	4124	25982
137	4152	25937
138	4181	25904
139	4210	25862
140	4240	25836
141	4272	25813
142	4305	25799
143	4336	25776
144	4365	25742
145	4394	25707
146	4423	25666
147	4451	25628
148	4480	25588
149	4507	25544
150	4535	25503
151	4567	25481
152	4599	25461
153	4628	25428
154	4658	25397
155	4687	25359
156	4718	25333
157	4747	25300
158	4778	25272
159	4806	25235
160	4835	25199
161	4864	25165
162	4893	25125
163	4921	25088
164	4950	25052
165	4977	25007
166	5005	24965
167	5038	24951
168	5066	24914
169	5096	24883
170	5124	24845
171	5152	24803
172	5179	24761
173	5209	24731
174	5238	24695
175	5268	24666
176	5301	24650
177	5330	24616
178	5360	24587
179	5393	24569
180	5422	24534
181	5452	24505
182	5482	24474
183	5509	24435
184	5539	24405
185	5567	24364
186	5597	24333
187	5626	24302
188	5653	24258
189	5682	24223
190	5714	24202
191	5742	24167
192	5770	24126
193	5799	24093
194	5829	24065
195	5858	24031
196	5889	24005
197	5915	23961
198	5944	23926
199	5971	23885
200	5998	23846
201	6027	23812
202	6056	23780
203	6085	23744
204	6112	23704
205	6142	23674
206	6169	23636
207	6200	23611
208	6230	23580
209	6262	23559
210	6299	23557
211	6330	23529
212	6359	23498
213	6391	23474
214	6420	23441
215	6450	23411
216	6480	23384
217	6509	23351
218	6538	23317
219	6570	23294
220	6601	23269
221	6631	23241
222	6662	23214
223	6693	23188
224	6723	23159
225	6755	23135
226	6784	23103
227	6813	23069
228	6843	23042
229	6872	23007
230	6901	22973
231	6933	22952
232	6966	22932
233	6996	22902
234	7026	22873
235	7053	22834
236	7080	22796
237	7108	22760
238	7136	22723
239	7164	22687
240	7193	22655
241	7222	22621
242	7252	22592
243	7288	22583
244	7317	22551
245	7351	22531
246	7381	22503
247	7410	22469
248	7438	22434
249	7469	22407
250	7497	22372
251	7525	22338
252	7554	22306
253	7581	22267
254	7611	22236
255	7639	22202
256	7669	22172
257	7696	22135
258	7724	22100
259	7753	22068
260	7782	22036
261	7811	22003
262	7842	21976
263	7871	21945
264	7901	21915
265	7932	21888
266	7964	21866
267	7994	21835
268	8025	21809
269	8053	21774
270	8081	21739
271	8108	21703
272	8140	21676
273	8167	21639
274	8194	21603
275	8223	21572
276	8254	21546
277	8289	21527
278	8319	21499
279	8349	21471
280	8378	21438
281	8408	21408
282	8437	21378
283	8467	21347
284	8495	21313
285	8525	21282
286	8557	21260
287	8588	21233
288	8618	21202
289	8648	21172
290	8676	21139
291	8707	21112
292	8736	21079
293	8766	21050
294	8796	21022
295	8824	20988
296	8852	20953
297	8881	20921
298	8912	20894
299	8939	20859
300	8968	20826
301	8997	20796
302	9028	20768
303	9060	20744
304	9089	20711
305	9118	20680
306	9149	20652
307	9177	20619
308	9206	20587
309	9234	20555
310	9268	20533
311	9298	20505
312	9332	20482
313	9361	20452
314	9391	20421
315	9419	20388
316	9451	20363
317	9481	20334
318	9513	20309
319	9544	20281
320	9573	20250
321	9603	20220
322	9632	20190
323	9661	20158
324	9692	20129
325	9721	20100
326	9752	20070
327	9781	20039
328	9810	20007
329	9840	19978
330	9868	19945
331	9896	19912
332	9925	19881
333	9955	19851
334	9985	19821
335	10012	19787
336	10042	19756
337	10071	19725
338	10100	19693
339	10128	19661
340	10156	19628
341	10185	19596
342	10216	19568
343	10245	19538
344	10281	19519
345	10312	19492
346	10341	19461
347	10370	19429
348	10398	19396
349	10428	19366
350	10456	19334
351	10487	19306
352	10516	19276
353	10548	19250
354	10580	19223
355	10608	19190
356	10639	19162
357	10671	19136
358	10701	19107
359	10728	19073
360	10760	19047
361	10790	19018
362	10818	18984
363	10847	18953
364	10879	18926
365	10909	18897
366	10940	18869
367	10969	18838
368	10999	18809
369	11028	18777
370	11057	18746
371	11089	18721
372	11118	18690
373	11147	18658
374	11177	18629
375	11210	18604
376	11243	18580
377	11276	18555
378	11309	18530
379	11338	18499
380	11369	18471
381	11397	18438
382	11427	18408
383	11455	18376
384	11483	18344
385	11513	18314
386	11542	18283
387	11571	18252
388	11599	18219
389	11629	18190
390	11660	18161
391	11689	18130
392	11718	18099
393	11748	18070
394	11777	18039
395	11805	18006
396	11834	17974
397	11865	17947
398	11895	17917
399	11926	17889
400	11955	17857
401	11984	17827
402	12020	17806
403	12047	17772
404	12075	17740
405	12105	17710
406	12134	17679
407	12162	17647
408	12190	17615
409	12219	17583
410	12254	17562
411	12287	17536
412	12317	17507
413	12345	17474
414	12375	17444
415	12405	17415
416	12433	17383
417	12462	17352
418	12491	17321
419	12519	17288
420	12547	17257
421	12575	17224
422	12604	17193
423	12632	17161
424	12660	17128
425	12689	17098
426	12719	17068
427	12746	17035
428	12774	17003
429	12804	16972
430	12834	16944
431	12861	16911
432	12890	16880
433	12919	16849
434	12949	16818
435	12977	16787
436	13007	16758
437	13034	16724
438	13064	16695
439	13092	16662
440	13120	16631
441	13150	16602
442	13180	16572
443	13210	16542
444	13246	16520
445	13277	16493
446	13310	16467
447	13339	16436
448	13368	16405
449	13398	16375
450	13426	16344
451	13455	16312
452	13484	16283
453	13517	16256
454	13547	16227
455	13578	16199
456	13607	16167
457	13635	16136
458	13664	16106
459	13692	16073
460	13719	16041
461	13748	16010
462	13777	15979
463	13806	15948
464	13835	15918
465	13861	15883
466	13887	15849
467	13915	15817
468	13943	15786
469	13972	15756
470	14000	15724
471	14028	15692
472	14056	15660
473	14084	15629
474	14114	15600
475	14141	15567
476	14169	15535
477	14197	15504
478	14231	15479
479	14267	15456
480	14296	15426
481	14325	15395
482	14356	15367
483	14386	15337
484	14414	15306
485	14443	15275
486	14471	15243
487	14498	15212
488	14528	15181
489	14558	15153
490	14587	15122
491	14615	15090
492	14644	15060
493	14674	15031
494	14704	15001
495	14732	14969
496	14759	14938
497	14788	14907
498	14815	14875
499	14844	14844
500	14873	14814
501	14903	14785
502	14932	14754
503	14960	14723
504	14990	14693
505	15020	14664
506	15050	14634
507	15078	14603
508	15107	14573
509	15135	14541
510	15165	14512
511	15195	14482
512	15229	14457
513	15259	14428
514	15288	14397
515	15316	14366
516	15345	14336
517	15372	14304
518	15401	14273
519	15430	14243
520	15457	14211
521	15488	14182
522	15516	14151
523	15544	14120
524	15573	14090
525	15601	14059
526	15630	14028
527	15658	13997
528	15686	13966
529	15714	13935
530	15743	13905
531	15771	13874
532	15800	13843
533	15827	13811
534	15857	13783
535	15887	13753
536	15915	13722
537	15943	13690
538	15972	13661
539	16000	13630
540	16028	13598
541	16055	13567
542	16084	13537
543	16112	13506
544	16141	13476
545	16172	13447
546	16204	13419
547	16237	13392
548	16269	13365
549	16299	13335
550	16328	13305
551	16356	13274
552	16384	13244
553	16413	13213
554	16442	13183
555	16470	13152
556	16500	13123
557	16529	13093
558	16559	13063
559	16591	13035
560	16619	13005
561	16646	12973
562	16677	12945
563	16706	12914
564	16734	12884
565	16764	12854
566	16795	12826
567	16824	12796
568	16853	12765
569	16880	12734
570	16910	12705
571	16939	12674
572	16967	12644
573	16994	12612
574	17023	12582
575	17051	12551
576	17081	12522
577	17112	12494
578	17140	12463
579	17168	12432
580	17200	12404
581	17233	12377
582	17265	12349
583	17294	12319
584	17323	12289
585	17352	12258
586	17379	12228
587	17408	12197
588	17435	12166
589	17463	12135
590	17492	12105
591	17521	12075
592	17550	12045
593	17580	12016
594	17609	11986
595	17636	11955
596	17667	11926
597	17698	11897
598	17728	11868
599	17758	11838
600	17787	11809
601	17816	11779
602	17845	11748
603	17874	11718
604	17902	11688
605	17932	11659
606	17961	11629
607	17989	11598
608	18020	11569
609	18047	11538
610	18074	11507
611	18103	11477
612	18131	11447
613	18160	11416
614	18190	11387
615	18225	11361
616	18257	11333
617	18285	11302
618	18314	11272
619	18344	11243
620	18373	11213
621	18402	11183
622	18430	11152
623	18458	11122
624	18487	11092
625	18515	11062
626	18544	11031
627	18573	11001
628	18600	10971
629	18629	10940
630	18659	10912
631	18688	10881
632	18717	10851
633	18746	10822
634	18774	10791
635	18804	10762
636	18832	10731
637	18860	10701
638	18890	10672
639	18920	10642
640	18949	10613
641	18977	10582
642	19006	10552
